material name     |     G vrh     |     K vrh     |     Vicker's Hardness
F8.5Mn1Dy1.5    73.79560923076548GPa   99.73819176450007GPa   14.408270203410897GPa
F8.5Mn1Eu1.5    73.78568791246825GPa   97.43382657173557GPa   14.886718274057316GPa
F8.5Na1Np1.5    74.40641309265993GPa   96.10034201751517GPa   15.4466718164689GPa
F8.5Nd1.5Re1    74.29514845333858GPa   94.76083694240457GPa   15.70293631832757GPa
F8.5Pm1.5Os1    73.64443353968892GPa   95.34064512466801GPa   15.285431145496684GPa
F8.5Pm1.5Re1    73.64443353968892GPa   95.24453694240455GPa   15.30702094419426GPa
F8.5Pm1.5W1    71.7825293007829GPa   94.76083694240457GPa   14.607070989646608GPa
F8.5Pr1.5Re1    74.29514845333858GPa   94.76083694240457GPa   15.70293631832757GPa
F8.5Rb1Np1.5    74.14947880530951GPa   94.28557318927759GPa   15.748597196313664GPa
F8.5Rh1.5Te1    68.98262108422404GPa   86.01483994729935GPa   15.38938875203608GPa
F8.5Ru1Eu1.5    73.062080558565GPa   92.69922292883246GPa   15.635046812542473GPa
F8.5Tb1.5Re1    75.371113756265GPa   96.6658097098924GPa   15.739386469610448GPa
F8.5Tc1Dy1.5    73.70098666386868GPa   96.64933993933352GPa   15.020338162782696GPa
F8.5Tc1Pm1.5    74.00781027953767GPa   90.97308656430556GPa   16.484262687694518GPa
F8.5Tc1Tm1.5    73.24677945896134GPa   94.66884811416693GPa   15.262977101567866GPa
F8.5Ti1.5Pu1    73.64173317797383GPa   92.62591020720868GPa   15.912790245170836GPa
F8.5Tm1.5Os1    77.38237637954212GPa   96.4530297098924GPa   16.676472504084202GPa
F8.5Tm1.5Pa1    73.21992512948786GPa   95.86831174964003GPa   14.984341467709125GPa
F8.5Tm1.5Re1    77.94778259946483GPa   96.6658097098924GPa   16.87816625892249GPa
F8.5Tm1.5W1    74.72568889911062GPa   96.6658097098924GPa   15.458671183420694GPa
F8.5V1.5Np1    75.46902699588935GPa   93.55945838947213GPa   16.513786334845527GPa
F8.5V1.5Pa1    74.94338699588936GPa   90.47060656430557GPa   17.048098577477536GPa
F8.5Yb1.5Re1    77.22769637954212GPa   96.4530297098924GPa   16.60749800191781GPa
Fe1Se5.5Er3    34.587319404017606GPa   80.64600301346012GPa   2.903740112840752GPa
Ge1Se3Ac1.33333333    29.19743972590641GPa   65.70098855807468GPa   2.5737943393147127GPa
H1.5Cl1.5Fe1    77.9633607526128GPa   125.47931725220697GPa   11.654415542318537GPa
H1.5Cl1.5Ni1    77.11836341660414GPa   123.90648817782248GPa   11.590558165673903GPa
H1.5F1.5Bi1    63.19230757886706GPa   108.93013501417016GPa   8.960035903485728GPa
H1.5F1.5Cr1    78.68814399947361GPa   123.4667119653926GPa   12.17880066609766GPa
H1.5F1.5Fe1    72.16793556771526GPa   121.06584819558559GPa   10.344087506707524GPa
H1.5F1.5In1    67.51691996592304GPa   118.39369602183442GPa   9.18581864647092GPa
H1Cl6Cr3.5    71.4249185350261GPa   98.6628043609987GPa   13.64856363482549GPa
H1Cl6Mn3.5    67.42137230166833GPa   91.85001233069302GPa   13.359388886854884GPa
H1F2Cd1.5    61.59713173842884GPa   113.52445340941235GPa   7.89567233703003GPa
H1F7Pa1.5    71.16999979336487GPa   98.8551472102797GPa   13.506766293243427GPa
H1O3Ba3.5    50.31720814311467GPa   71.27682867636356GPa   10.17021684928544GPa
H1O4.5Hf2    85.28768751361626GPa   186.76678236610744GPa   7.772461380163463GPa
H1O4.5Pu2    93.62605342600628GPa   185.10066355192123GPa   9.82224003804955GPa
H1O5.5Ce3    62.11035608147196GPa   140.19181663511515GPa   5.637087769788836GPa
H1O5.5Re3    89.23461566795503GPa   185.86988993535348GPa   8.728472643017854GPa
H1O6.5Mo2    61.141827577119514GPa   97.71000822439473GPa   9.818146397639628GPa
H1O6.5U2    61.996959327604316GPa   111.11257949834791GPa   8.300484157718419GPa
