material name     |     G vrh     |     K vrh     |     Vicker's Hardness
F8.5Rh1.5Te1    61.25375603682623GPa   105.32077097239659GPa   8.778948216809221GPa
F8.5Ru1Eu1.5    69.3249815660825GPa   101.87110090835756GPa   12.218500392944701GPa
F8.5Tb1.5Re1    75.83640544819697GPa   120.76820157135984GPa   11.599261516523155GPa
F8.5Tc1Dy1.5    73.62027911020084GPa   106.78617705693172GPa   13.004714876141698GPa
F8.5Tc1Pm1.5    75.45465057735186GPa   107.02567186204716GPa   13.667406621654212GPa
F8.5Tc1Tm1.5    77.60389162606207GPa   105.7960766410728GPa   14.747866401152503GPa
F8.5Ti1.5Pu1    75.58329136920082GPa   108.67666959342226GPa   13.420553002121299GPa
F8.5Tm1.5Os1    77.74594588366126GPa   176.91330445831096GPa   6.756401658044158GPa
F8.5Tm1.5Pa1    69.63161171293908GPa   99.33461640563908GPa   12.796016798688235GPa
F8.5Tm1.5Re1    76.90327262719674GPa   175.66847039519394GPa   6.650979397851145GPa
F8.5Tm1.5W1    77.56740905484305GPa   174.18712965610956GPa   6.895285926949313GPa
F8.5V1.5Np1    79.44045510887386GPa   108.06637085871068GPa   15.037870185123651GPa
F8.5V1.5Pa1    83.7185491107776GPa   105.66549697999784GPa   17.30393540835407GPa
F8.5Yb1.5Re1    74.26595757374693GPa   103.51003031660579GPa   13.855305122735661GPa
Fe1Se5.5Er3    45.65062722941823GPa   132.47052512589036GPa   2.37625065471142GPa
Ge1Se3Ac1.33333333    38.73093123917207GPa   65.82905551535376GPa   6.131099154281099GPa
H1.5Cl1.5Fe1    60.45680691860671GPa   89.503970675352GPa   10.925501295105448GPa
H1.5Cl1.5Ni1    61.51317284607911GPa   94.12521682448678GPa   10.534214439722195GPa
H1.5F1.5Bi1    75.76220890637683GPa   123.37387903078532GPa   11.21471613672949GPa
H1.5F1.5Cr1    64.20271149986343GPa   78.12549827050123GPa   15.143396186725194GPa
H1.5F1.5Fe1    59.375024702176304GPa   114.43444764379456GPa   7.120296596193967GPa
H1.5F1.5In1    60.51875968743071GPa   109.67626397105614GPa   7.998037094860784GPa
H1Cl6Cr3.5    78.84552006236984GPa   132.5109020559464GPa   11.022946763526054GPa
H1Cl6Mn3.5    60.61248999741347GPa   89.55610323225021GPa   10.978969442785441GPa
H1F2Cd1.5    70.87656425373657GPa   116.768088902247GPa   10.486301885203712GPa
H1F7Pa1.5    73.12528701724916GPa   110.48341425915929GPa   12.198859962784224GPa
H1O3Ba3.5    52.99509730657292GPa   76.12899903682869GPa   10.3551877725923GPa
H1O4.5Hf2    80.20933890739144GPa   120.61377712394498GPa   13.13282288165162GPa
H1O4.5Pu2    62.341997095968644GPa   108.46816309043054GPa   8.737253073989082GPa
H1O5.5Ce3    72.62128891177102GPa   105.28657131000733GPa   12.886229874673157GPa
H1O5.5Re3    85.4316803959682GPa   145.05810321016256GPa   11.521688528400004GPa
H1O6.5Mo2    69.06828818867112GPa   102.97766014205808GPa   11.929826747588812GPa
H1O6.5U2    78.91825462653142GPa   119.39461945326391GPa   12.86734609024598GPa
H2.5C1F1.5    88.4752130369358GPa   162.02496953376252GPa   10.567225825481687GPa
H2.5F1.5Ir1    70.04958028367301GPa   94.63258980425833GPa   13.894644783905854GPa
H2.5F1.5Os1    74.5695909066236GPa   94.21862185505638GPa   15.95116403950766GPa
H2.5F1.5Re1    74.68328397148466GPa   98.92682047907671GPa   14.94814768136716GPa
